tokenId,estimatedPrice
14,0.84
103,0.01
37,0.01
144,0.01
50,0.01
508,0.01
95,0.01
2,0.6
26,0.01
36,0.48
133,0.01
145,0.01
58,0.01
105,0.18
51,0.01
77,0.01
20,0.01
69,0.01
102,2.75
61,0.6
52,0.01
70,0.6
150,0.01
120,0.01
64,0.168
22,0.01
80,0.01
81,0.3
27,0.3
79,0.01
67,0.01
75,0.0012
93,0.01
87,0.01
158,0.01
21,0.06
45,0.01
140,0.01
141,0.01
138,0.01
155,0.01
159,0.01
160,0.01
518,0.01
532,0.01
167,0.01
176,0.6
171,0.01
175,0.01
610,0.01
548,0.18
512,0.12
506,0.12
549,0.18
525,0.12
530,0.12
531,0.01
538,0.01
210,0.24
249,0.01
260,0.01
535,0.01
33,0.01
32,0.01
78,0.3
97,0.01
106,0.01
56,0.01
188,0.01
43,0.01
517,0.01
124,0.44
189,0.01
5,0.44
179,0.01
104,0.01
187,0.01
34,0.01
128,0.01
12,0.01
53,0.01
88,0.01
183,0.01
118,0.01
139,0.01
17,0.01
149,0.01
107,0.01
534,0.01
130,0.01
597,0.33
523,0.01
522,0.01
28,0.143
74,0.01
38,0.01
108,0.01
173,0.01
15,0.44
16,0.01
135,0.22
13,0.01
89,0.011
11,0.01
47,0.22
117,0.01
40,0.01
18,0.36
8,0.01
510,0.77
92,0.01
491,0.01
134,0.01
85,1.1
152,0.01
68,0.01
65,0.01
66,3.3
63,0.01
44,0.01
148,0.01
129,0.01
48,0.01
113,1.1
156,0.01
49,0.01
115,0.01
142,0.01
116,0.01
126,0.01
184,0.01
99,0.01
90,0.01
60,0.01
533,0.01
157,0.011
94,0.01
112,0.01
73,0.01
72,0.01
82,0.01
29,0.01
121,0.01
9,0.01
91,0.01
1,2.42
71,0.01
39,0.01
76,0.01
3,0.01
147,0.01
123,0.01
136,0.01
214,0.01
127,0.01
131,0.022
110,0.01
86,2.75
7,0.715
151,0.011
46,0.01
177,0.01
122,0.011
55,0.011
143,0.011
119,0.01
178,0.01
543,0.01
174,0.042
261,1.92
300,0.024
541,0.3
545,0.24
559,0.00297
165,0.01
599,0.06
552,0.01
492,1.92
493,1.92
192,1.92
193,1.92
194,1.92
195,1.92
196,1.92
197,1.92
198,1.92
199,1.92
201,1.92
202,1.92
203,1.92
205,1.92
206,1.92
207,1.92
209,1.92
180,0.022
212,1.92
213,1.92
215,1.92
216,1.92
217,1.92
219,1.92
220,1.92
221,1.92
223,1.92
224,1.92
225,1.92
226,1.92
227,1.92
228,1.92
229,1.92
230,1.92
551,0.3
232,1.92
234,1.92
235,1.92
236,1.92
237,1.92
238,1.92
239,1.92
240,1.92
241,1.92
242,1.92
243,1.92
245,1.92
246,1.92
247,1.92
248,1.92
250,1.92
251,1.92
252,1.92
253,1.92
254,1.92
256,1.92
257,1.92
258,1.92
324,0.024
262,1.92
263,1.92
264,1.92
265,1.92
266,1.92
268,1.92
270,1.92
271,1.92
272,1.92
273,1.92
274,1.92
275,1.92
276,1.92
297,0.01
299,0.01
346,0.01
375,0.01
553,0.12
560,0.01
562,0.24
563,0.24
566,0.01
586,0.6
573,0.01
200,1.92
211,1.92
222,1.92
233,1.92
244,1.92
267,1.92
277,1.92
278,1.92
279,1.92
280,1.92
281,1.92
282,1.92
283,1.92
284,1.92
285,1.92
286,1.92
287,1.92
288,1.92
289,1.92
290,1.92
292,1.92
293,0.024
295,0.024
579,0.01
298,0.024
301,0.024
302,0.024
340,0.024
342,0.024
344,0.024
345,0.024
348,0.024
349,0.024
350,0.024
351,0.024
352,0.024
353,0.024
354,0.024
524,0.01
604,0.01
557,0.01
574,0.01
569,0.01
572,0.01
561,0.01
185,0.01
182,0.01
598,0.01
571,0.01
208,0.385
537,0.01
496,0.01
542,0.01
218,0.01
600,0.01
191,0.01
186,0.01
494,0.01
601,0.01
550,0.011
576,0.01
606,0.01
577,0.01
204,0.407
164,0.01
544,0.01
555,0.011
578,0.12
564,0.01
181,0.01
384,0.01
231,1.98
255,0.01
355,0.01
495,0.01
269,0.01
583,0.01
570,0.01
602,0.01
565,0.01
190,0.01
605,0.01
580,0.01
582,0.01
547,0.0011
356,0.024
357,0.024
359,0.024
360,0.024
361,0.024
362,0.024
363,0.024
364,0.024
365,0.024
366,0.024
367,0.024
368,0.024
370,0.024
371,0.024
372,0.024
373,0.024
374,0.024
376,0.024
377,0.024
378,0.024
291,0.01
381,0.024
382,0.024
383,0.024
385,0.024
386,0.024
387,0.024
388,0.024
389,0.024
390,0.024
392,0.024
393,0.024
394,0.024
395,0.024
396,0.024
397,0.024
398,0.024
399,0.024
400,0.024
401,0.024
403,0.024
404,0.024
405,0.024
406,0.024
407,0.024
408,0.024
409,0.024
410,0.024
411,0.024
414,0.024
415,0.024
416,0.024
417,0.024
418,0.024
419,0.024
420,0.024
421,0.024
422,0.024
423,0.024
425,0.024
426,0.024
427,0.024
428,0.024
429,0.024
430,0.024
431,0.024
432,0.024
433,0.024
436,0.024
437,0.024
438,0.024
439,0.024
440,0.024
441,0.024
442,0.024
443,0.024
444,0.024
445,0.024
447,0.024
449,0.024
450,0.024
451,0.024
452,0.024
453,0.024
454,0.024
455,0.024
303,0.024
304,0.024
305,0.024
306,0.024
307,0.024
308,0.024
309,0.024
310,0.024
311,0.024
312,0.024
313,0.024
314,0.024
315,0.024
316,0.024
317,0.024
318,0.024
319,0.024
320,0.024
321,0.024
322,0.024
323,0.024
259,0.11
325,0.024
326,0.024
327,0.024
328,0.024
329,0.024
330,0.024
331,0.024
332,0.024
333,0.024
334,0.024
335,0.024
336,0.024
337,0.024
338,0.024
339,0.024
347,0.024
358,0.024
369,0.024
380,0.024
391,0.024
402,0.024
413,0.024
435,0.024
446,0.024
456,0.024
457,0.024
458,0.024
459,0.024
460,0.024
461,0.024
462,0.024
463,0.024
464,0.024
466,0.024
467,0.024
468,0.024
469,0.024
470,0.01
471,0.01
473,0.01
474,0.01
475,0.01
476,0.01
477,0.01
478,0.01
479,0.01
480,0.01
481,0.01
482,0.01
483,0.01
484,0.01
486,0.01
487,0.01
488,0.01
489,0.01
379,0.055
296,0.01
343,0.01
611,0.01
660,0.18
30,0.06
647,0.01
424,0.33
485,0.22
412,0.01
434,0.11
591,0.01
465,0.01
472,0.22
513,0.01
448,0.22
499,0.01
594,0.01
83,0.01
294,0.01
162,0.022
504,0.01
528,0.01
627,0.01
628,0.01
341,0.01
57,0.01
503,0.01
498,0.01
584,0.01
587,0.01
609,0.01
616,0.01
617,0.01
621,0.01
490,0.01
624,0.01
630,0.01
639,0.01
633,0.01
500,0.01
635,0.01
636,0.01
637,0.01
638,0.01
634,0.01
622,0.132
515,0.01
536,0.3
629,0.01
521,0.01
654,0.01
648,0.01
653,0.01
643,0.01
526,0.01
655,0.6
659,4.8
671,0.01
672,0.01
680,0.01
681,0.01
695,0.01
690,0.01
708,0.01
608,0.01
650,0.01
663,0.01
558,0.01
752,0.01
711,0.01
704,0.011
725,0.01
709,0.605
640,0.01
662,0.0924
658,0.01
718,0.36
701,0.15
593,0.01
700,0.01
714,0.088
719,0.01
717,0.01
716,0.01
612,0.01
721,0.01
168,0.01
698,0.01
642,0.01
723,0.01
710,0.01
19,0.01
10,0.55
603,0.01
685,0.01
678,0.01
730,0.01
728,0.01
740,0.01
712,0.38885
726,0.01
729,0.01
664,0.01
625,0.01
649,0.01
720,0.01
497,0.01
615,0.01
682,0.01
607,0.01
501,0.01
42,0.01
54,0.01
739,0.01
509,0.55
737,0.01
554,0.01
699,0.01
693,0.01
507,0.01
738,0.03
753,0.01
632,0.01
715,0.01
697,0.01
674,0.01
757,0.01
727,0.01
756,0.01
707,0.01
514,0.01
754,0.01
734,0.01
657,0.01
689,0.01
546,0.01
755,0.01
132,0.01
529,0.44
618,0.01
614,0.01
735,0.01
742,0.01
673,0.01
722,0.01
724,0.01
589,0.01
520,0.01
679,0.01
736,0.01
731,0.01
670,0.01
519,0.01
631,0.36
652,0.01
661,0.01
687,0.01
620,0.01
713,0.01
751,0.01
613,0.01
646,0.01
626,0.01
163,0.01
505,0.01
592,1.62
623,0.01
676,0.01
750,0.01
675,0.01
702,0.01
645,0.01
705,0.01
588,0.01
732,0.01
172,0.01
595,0.01
790,0.01
762,0.01
793,0.01
771,0.01
774,0.01
773,0.01
766,0.01
778,0.01
854,0.01
906,0.01
909,0.01
785,0.01
789,0.01
799,0.01
879,0.01
776,0.01
786,0.01
829,0.01
835,0.03
836,0.01
837,0.01
857,0.01
853,0.01
516,0.12
874,0.01
876,0.01
885,0.01
801,0.01
802,0.01
781,0.01
804,0.01
805,0.01
838,0.01
797,0.01
758,0.01
839,0.01
794,0.01
840,0.01
841,0.01
806,0.01
812,0.01
842,0.01
904,0.01
832,0.01
808,0.011
809,0.01
803,0.01
784,0.01
810,0.01
882,0.011
820,0.01
811,0.33
791,0.01
872,0.01
889,0.01
845,0.01
824,0.01
823,0.01
827,0.01
897,0.01
846,0.01
887,0.01
856,0.01
768,0.01
913,0.01
796,0.01
884,0.01
886,0.01
875,0.01
849,0.01
850,0.01
868,0.01
848,0.01
878,0.01
769,0.01
851,0.01
852,0.01
761,0.01
861,0.01
788,0.01
787,0.01
873,0.01
871,0.11
898,0.01
858,0.01
782,0.01
798,0.01
817,0.01
780,0.72
822,0.01
833,0.01
899,0.01
877,0.01
795,0.01
865,0.01
767,0.01
777,0.01
907,0.01
910,0.01
867,0.01
818,0.12
815,0.121
883,0.01
903,0.01
831,0.01
826,0.01
765,0.01
893,0.01
819,0.01
596,0.01
764,0.01
860,0.01
821,0.01
880,0.01
863,0.01
869,0.01
911,0.01
892,0.01
855,0.01
866,0.01
864,0.01
772,0.01
834,0.01
862,0.01
844,0.165
914,0.01
896,0.01
901,0.01
908,0.01
792,0.01
890,0.01
859,0.01
814,0.22
813,0.01
915,0.6
783,0.01
800,0.01
916,0.01
917,0.01
894,0.01
918,0.01
919,0.01
921,0.01
932,0.01
920,0.01
923,0.01
1046,0.01
1025,0.01
973,0.01
956,0.01
1010,0.01
926,0.01
1058,0.01
927,0.01
1041,0.01
928,0.01
965,0.01
1012,0.01
1047,0.01
575,0.01
943,0.01
1062,0.01
931,0.01
1032,0.22
1002,0.01
1008,0.12
1030,0.01
990,0.01
937,0.01
942,0.01
985,0.01
961,0.01
1017,0.01
935,0.01
938,0.01
947,0.01
992,0.01
924,0.1925
949,0.01
1020,0.01
1056,0.01
940,0.01
971,0.01
951,0.01
941,0.01
1036,0.01
925,0.01
952,0.01
1005,0.01
1045,0.01
881,0.72
989,0.01
994,0.01
1060,1.2
1049,0.01
955,0.01
912,0.3
1055,0.01
959,0.01
997,0.01
902,0.01
1038,0.01
964,0.01
979,0.01
972,0.01
974,0.01
998,0.01
988,0.01
999,0.01
966,1.2
1007,0.01
987,0.01
1028,0.01
1006,0.01
963,0.01
968,0.01
760,0.01
763,0.01
958,0.01
1044,0.01
527,0.01
1019,0.01
945,0.01
995,0.01
922,0.01
996,0.01
960,0.01
986,0.01
970,0.01
946,0.01
948,0.01
1043,0.01
1027,1.2
1050,0.01
1026,0.01
991,0.01
983,0.01
957,0.01
905,0.66
1001,0.01
969,0.01
1033,0.01
900,0.01
1029,0.01
1004,0.01
1016,0.01
1040,0.01
953,0.12
1037,0.36
1024,0.01
1031,0.01
1022,0.01
1021,0.01
976,0.01
982,0.01
975,0.01
933,0.01
1034,0.01
984,0.01
1042,0.01
1059,0.01
930,0.01
1018,0.01
1048,0.01
967,0.42
1000,0.01
980,0.01
1003,0.01
934,4.2
1063,0.9
1023,0.01
1011,0.01
1061,0.01
950,0.01
1057,0.01
759,0.01
993,0.01
1064,0.01
1065,0.01
929,0.01
770,0.01
1070,0.01
1110,0.01
1075,0.01
1052,0.01
1077,0.01
1198,0.01
1163,0.42
1091,0.01
1169,0.01
1079,0.01
1139,0.01
1081,0.01
1074,0.01
1084,0.01
1142,0.01
1113,0.01
1145,0.01
1085,0.01
1076,0.01
1069,0.12
936,0.12
1088,0.01
1082,0.01
1181,0.01
1054,0.01
1095,0.12
1151,0.01
1094,0.01
1109,0.01
1138,0.01
977,0.12
1125,0.01
1114,0.01
1099,0.12
1086,0.01
1087,0.01
1100,0.01
1192,0.01
1102,0.12
1182,0.01
1183,0.01
1202,0.01
1119,0.01
1112,0.01
1105,0.12
1053,0.01
1073,0.01
1101,0.12
1132,0.01
1140,0.01
1194,0.01
1104,0.01
1092,0.01
1160,0.01
1103,0.01
1215,0.01
1162,0.01
1130,0.01
1146,0.01
1172,0.01
1107,0.01
1035,0.01
1171,0.01
1117,0.01
1205,0.01
1154,0.01
1144,0.01
1147,0.01
1184,0.01
1128,0.01
1124,0.01
1209,0.01
1096,0.01
1097,0.01
1123,0.01
1148,0.01
1180,0.01
1178,0.01
1187,0.01
1121,0.01
1149,0.01
1207,0.01
1193,0.01
1089,0.01
1212,0.01
1157,0.01
1158,0.01
1155,0.01
1051,0.01
1122,0.01
1115,0.01
1009,0.01
1197,0.01
1185,0.01
1090,0.01
1133,0.01
1161,0.01
1131,0.01
1093,0.55
1175,0.01
1159,0.01
1164,0.01
1165,0.01
1167,0.01
1168,0.01
1098,0.01
1189,0.01
1188,0.24
1173,0.01
1208,0.01
1129,0.01
1216,0.01
1137,0.01
1203,0.01
1195,0.01
1196,0.01
1177,0.01
1176,0.01
1126,0.01
1204,0.01
1120,0.01
1078,0.01
1170,0.01
1186,0.01
1199,0.01
1201,0.01
1068,0.01
1206,0.01
1136,0.01
1213,0.01
954,0.01
1210,0.01
1150,1.1
1111,0.01
1106,0.01
830,0.01
1335,0.01
1346,0.9
1307,0.01
1223,0.01
1225,0.01
581,0.01
1224,0.01
1190,0.01
1274,0.01
1222,0.01
1286,0.01
1282,0.01
1218,0.01
1217,0.01
1270,0.01
688,0.01
1179,0.01
1315,0.01
1219,0.01
1279,0.01
1240,0.01
1324,0.01
1242,0.01
1285,0.01
1266,0.01
1235,0.36
1241,0.01
1268,0.01
1227,0.01
978,0.01
1306,0.6
1228,0.01
1233,0.01
1317,0.01
1249,0.01
1258,0.01
1283,0.01
1248,0.01
1253,0.01
1254,0.01
1255,0.01
1257,0.01
1259,0.01
1298,0.01
1245,0.01
1231,0.01
1166,0.01
1239,0.01
1349,0.01
1262,0.01
1134,0.01
1260,0.01
1360,0.01
1211,0.01
1220,0.01
1039,0.01
1263,0.01
1320,0.01
1361,0.01
1321,0.01
1271,0.01
1311,0.01
1275,0.01
1277,0.06
1272,0.01
1290,0.01
1292,0.01
1273,0.01
1295,0.01
1267,0.01
1291,0.01
1344,0.01
1305,0.01
1246,0.01
1316,0.01
1294,0.01
1288,0.01
1296,0.01
1297,0.01
1116,0.01
1237,0.01
1229,0.01
1300,0.01
1332,0.01
1302,0.01
1303,0.01
1319,0.01
1340,0.01
1330,0.01
1281,0.01
1339,0.01
1338,0.01
1309,0.01
1310,0.01
1323,0.01
1214,0.01
1312,0.01
1313,0.01
1356,0.01
1247,0.01
1329,1.5
1318,0.01
1327,0.01
1337,0.01
1304,0.01
1284,0.01
1328,0.01
1333,0.01
1342,0.01
1362,0.01
1301,0.01
1280,0.01
1331,0.01
1358,0.01
1334,0.01
1289,0.011
1326,0.01
1325,0.01
1322,0.01
1345,0.01
1252,0.01
1343,0.01
1355,0.01
1354,0.01
1278,0.01
1353,0.01
1341,0.01
1265,0.01
1347,0.01
1351,0.01
1350,0.01
1269,0.01
1348,0.01
1276,0.6
1250,0.01
1308,0.01
1287,0.01
1357,0.01
1359,0.01
1221,0.01
1364,0.01
502,0.01
1490,0.01
1299,0.01
1336,0.01
1369,0.01
1495,0.01
1430,0.01
1470,0.01
1445,0.01
1365,0.01
1363,0.01
1367,0.01
1378,0.01
1108,0.01
1368,0.01
1411,0.01
1488,0.01
1471,0.01
1408,0.01
1428,0.01
1496,0.01
1387,0.01
1403,0.01
1481,0.01
1384,0.01
1440,0.01
1392,0.01
1478,0.01
1441,0.01
1395,0.01
1474,0.01
1447,0.01
1412,0.96
1482,0.01
1436,0.01
1400,0.01
1397,0.01
1399,0.01
1385,0.01
1455,0.01
1396,0.01
1406,0.01
1407,0.01
1405,0.01
1480,0.01
1484,0.01
1425,0.01
59,0.01
1423,0.01
1410,0.01
1366,0.01
1420,0.01
1413,0.01
1432,0.01
1476,0.01
1390,0.01
1502,0.01
1453,0.01
1404,0.01
1437,0.01
1401,0.01
1431,0.01
1422,0.01
1415,0.01
1424,0.01
1421,0.01
1426,0.01
1418,0.01
1446,0.01
1438,0.01
1394,0.01
1135,0.01
1459,0.01
1443,0.01
1444,0.01
1427,0.01
1448,0.01
1442,0.01
1463,0.01
1393,0.01
1371,0.01
1461,0.01
656,0.01
847,0.01
1375,2.76
1433,0.01
1389,0.01
1386,0.01
1449,0.01
1370,0.01
1450,0.01
1373,0.01
1479,0.01
1439,1.5
1477,0.01
1388,0.01
1452,0.01
1491,0.01
1376,0.01
1454,0.01
1464,0.01
1486,0.24
1466,0.01
1417,0.01
1398,0.01
1469,0.01
1458,0.01
1451,0.01
1485,0.01
1494,0.01
1468,0.01
1456,0.18
1467,0.01
1379,0.01
1232,0.01
1380,0.01
1416,0.01
1483,0.01
1372,0.01
1492,0.01
1391,0.01
1383,0.01
1457,0.01
1499,0.01
1377,0.01
1465,0.01
